"","country","Base","Max","Min","Max.Base","Max.Min","Growth","Max.Var","Min.Var"
"174","TZA",126193794,135225131,112190213,9031337,14003581,72313837,0,3
"175","UGA",101772508,116660810,75286689,14888302,26485819,61627638,0,2.7
"176","UKR",40515029,45839424,37688241,5324395,2826788,-4639000,2.3,0
"177","URY",3751075,3937452,3601558,186377,149517,319523,1.9,0.5
"178","USA",353171372,360011724,345722292,6840352,7449080,32274754,2.5,0
"179","UZB",36799794,49940975,36759924,13141181,39870,5500894,2.7,0.9
"180","VCT",120285,132639,117980,12354,2305,10830,0.1,2.1
"181","VEN",39290165,45027062,36356025,5736897,2934140,8135031,0,1.8
"182","VNM",95831563,104697102,91361825,8865539,4469738,4118263,0,1.9
"183","VUT",307619,520552,293626,212933,13993,43016,0,0.8
"184","WSM",294244,413360,269092,119116,25152,100485,0,3
"185","YEM",35004776,61556314,33905671,26551538,1099105,8088569,0,1.4
"186","ZAF",69710452,75277696,65787402,5567244,3923050,14698475.32,2.4,2.8
"187","ZMB",33564044,44522711,24337197,10958667,9226847,17463457,0,3
"188","ZWE",28191456,28645562,23366915,454106,4824541,12414005,2.1,0.6
